company,price_cad,diameter_in,topping,variant,size,extra_sauce,extra_cheese,extra_mushrooms
A,29,22,chicken,double_signature,jumbo,yes,yes,no
A,25,20,pepperoni,double_signature,jumbo,yes,yes,no
A,19,16,mushrooms,double_signature,regular,yes,yes,yes
A,22,14,smoked_beef,double_signature,regular,yes,no,yes
A,30,18,mozzarella,double_signature,jumbo,yes,no,yes
A,20,18.5,black_pepper,american_favorite,jumbo,no,no,yes
A,18,16,smoked_beef,american_favorite,jumbo,no,yes,yes
A,14,8,pepperoni,american_favorite,regular,no,no,yes
A,16,12,mushrooms,american_favorite,regular,yes,no,yes
A,16,12,smoked_beef,american_favorite,regular,no,no,no
A,20,18.5,mozzarella,super_supreme,jumbo,no,no,no
A,18,16,black_pepper,super_supreme,jumbo,yes,yes,no
A,14,8,smoked_beef,super_supreme,regular,yes,yes,no
A,16,12,black_pepper,super_supreme,regular,no,yes,no
A,16,12,mozzarella,super_supreme,regular,no,yes,no
A,20,18.5,mozzarella,meat_lovers,jumbo,no,yes,yes
A,18,16,smoked_beef,meat_lovers,jumbo,no,yes,yes
A,14,8,chicken,meat_lovers,regular,yes,yes,yes
A,16,12,mushrooms,meat_lovers,regular,yes,yes,yes
A,16,12,mozzarella,meat_lovers,regular,yes,yes,yes
A,28,22,chicken,double_mix,jumbo,yes,yes,yes
A,25,18.5,mushrooms,double_mix,jumbo,yes,yes,yes
A,18,14,chicken,double_mix,regular,yes,yes,yes
A,21,16.5,smoked_beef,double_mix,regular,yes,no,no
A,21,16.5,chicken,double_mix,regular,yes,no,no
B,10,8.5,mozzarella,classic,small,yes,no,no
B,12,12,chicken,classic,medium,yes,no,no
B,14,14,smoked_beef,classic,large,yes,no,yes
B,12,12,mozzarella,crunchy,medium,no,no,yes
B,15,17,chicken,new_york,XL,no,yes,yes
B,16,12,chicken,double_decker,medium,no,yes,yes
B,11,8.5,mushrooms,classic,small,yes,yes,yes
B,14,12,chicken,classic,medium,no,yes,yes
B,16,14,mushrooms,classic,large,no,yes,yes
B,15,12,mushrooms,crunchy,medium,no,yes,yes
B,18,17,mozzarella,new_york,XL,no,yes,yes
B,19,12,smoked_beef,double_decker,medium,yes,yes,yes
B,11,8.5,chicken,classic,small,no,yes,yes
